text,label
Too many deadlines in the same week,stressed
I am behind on lab files and it is stressing me out,stressed
Group project teammates are not doing their part,stressed
I keep refreshing the result portal,stressed
Attendance is low and I am panicking about that,stressed
I have to finish the report tonight no matter what,stressed
Parents keep asking about my rank,stressed
I have backlogs and the pressure is high,stressed
The queue at admin is endless and I am late,stressed
My internship application deadline is today,stressed
I cannot manage DSA practice plus college work,stressed
"Exam hall ticket issues, stressed",stressed
"Too many notifications, too little time",stressed
I am stressed about money this month,stressed
"Rent, food, and printouts, everything at once",stressed
I forgot a submission and I am spiraling a bit,stressed
The syllabus is huge and internals are close,stressed
I am grinding but it does not feel enough,stressed
Stressed because I compared myself to toppers again,stressed
My to-do list is longer than the day,stressed
I have two vivas and a file submission,stressed
This week is only deadlines,stressed
I am tense about the mid sem,stressed
Everything is urgent and I am stressed,stressed
I snapped at my roommate because of workload,stressed
I am stressed and my neck hurts from sitting,stressed
Need to finish coding before midnight,stressed
"Too much caffeine, still behind",stressed
I keep thinking I will fail this subject,stressed
College plus family expectations is a lot,stressed
I have no buffer time left this semester,stressed
Stressed about the presentation tomorrow morning,stressed
"My planner exploded, nothing is on track",stressed
I am carrying too many tasks at once,stressed
"deadline stress: assignment, lab file, and surprise test",stressed
I am stressed about placements and pending submissions,stressed
backlog plus attendance shortage is stressing me,stressed
"too many deadlines this week, high academic stress",stressed
"exam timetable clash, I am tense and behind",stressed
stress from intern application and college workload,stressed
"parents asking rank again, performance stress",stressed
"I am stressed, my to-do is only urgent tasks",stressed
"submission tonight, stressed and running out of time",stressed
"placement season stress, I cannot catch a break",stressed
My chest feels tight before the exam,anxious
I keep imagining I will blank out in the viva,anxious
I am anxious about sitting in class today,anxious
Heart is racing and I have a presentation,anxious
What if I do not get placed,anxious
I overthink every message I send to the group,anxious
I cannot sleep because I keep replaying mistakes,anxious
I am scared I chose the wrong branch,anxious
"Social anxiety in the canteen, I want to skip lunch",anxious
I feel restless and worried for no clear reason,anxious
My hands shake when I open the question paper,anxious
I keep checking if I locked the hostel room,anxious
I am anxious about calling home with average marks,anxious
What if the professor asks me and I freeze,anxious
I feel on edge all evening,anxious
I am worried people think I am dumb,anxious
Anxiety before interviews is eating me,anxious
"I cannot sit still, thoughts are too fast",anxious
I feel a knot in my stomach about tomorrow,anxious
I keep expecting bad news,anxious
I am afraid of disappointing my parents,anxious
I over-prepared and I am still anxious,anxious
I avoid raising my hand even when I know the answer,anxious
I feel unsafe in my own thoughts tonight,anxious
Waiting for results is making me nauseous,anxious
I am anxious in crowded lecture halls,anxious
I worry I will mess up the lab experiment,anxious
My mind jumps to worst-case scenarios,anxious
I feel jittery after one coffee,anxious
I am scared of the future after graduation,anxious
I keep thinking something is about to go wrong,anxious
Anxiety makes it hard to start studying,anxious
I feel watched when I walk into class late,anxious
I am nervous about sharing my project,anxious
My breathing gets shallow when I think of exams,anxious
I fear I will never be good enough,anxious
I am anxious and I cannot name why,anxious
The silence in the hostel at night makes me worry,anxious
I keep rehearsing conversations that went badly,anxious
I feel uneasy about going home this weekend,anxious
"anxious before viva, heart racing, hands shaky",anxious
"exam anxiety, I might freeze and blank out",anxious
"I feel restless, worried, worst-case thoughts",anxious
interview anxiety is making my stomach knot,anxious
"I overthink and cannot sleep, anxious all night",anxious
"social anxiety in class, I fear looking dumb",anxious
"anxious waiting for results, nauseous and on edge",anxious
"my chest is tight, presentation anxiety",anxious
"I am nervous, jittery, and imagining failure",anxious
anxiety about the future after graduation,anxious
Everyone has plans this weekend except me,lonely
I eat alone in the mess and it hurts,lonely
I miss home more than I admit,lonely
I have no one to talk to after class,lonely
My roommate is out and the room feels empty,lonely
I feel invisible in my friend group,lonely
Nobody checked on me today,lonely
I scroll reels because the hostel is quiet,lonely
I feel left out of the class WhatsApp jokes,lonely
I moved cities and I have not made friends yet,lonely
I am homesick and my family is far,lonely
I sit in the back so I do not have to talk,lonely
I feel alone even in a full classroom,lonely
No one to share my small wins with,lonely
I spent the whole Sunday by myself,lonely
I feel disconnected from people here,lonely
Calling home makes me lonelier after I hang up,lonely
I wish I had one close friend on campus,lonely
I am tired of pretending I am fine socially,lonely
Fest posters everywhere and I have no group,lonely
I walk back from library alone every night,lonely
I feel like an outsider in my own batch,lonely
Nobody saved me a seat today,lonely
I am lonely in this city,lonely
I miss the people from my school,lonely
I talk to my wall more than classmates,lonely
I feel forgotten,lonely
I want company but I do not know how to ask,lonely
My birthday passed and only two people texted,lonely
I feel isolated in the hostel wing,lonely
I am new here and conversations die quickly,lonely
I feel nobody would notice if I skipped class,lonely
I am lonely and it is a heavy evening,lonely
Group photos and I am never in them,lonely
"I need a human conversation, not more content",lonely
The campus is busy and I still feel alone,lonely
"I have acquaintances, not friends",lonely
I feel far from everyone I love,lonely
I do not know who to sit with tomorrow,lonely
Loneliness is louder than my playlist,lonely
I feel lonely and homesick in this hostel,lonely
"eating alone in the mess, no close friends",lonely
"left out of group plans, I feel invisible",lonely
"nobody to talk to, isolated on campus",lonely
"I miss home, I feel disconnected and lonely",lonely
"weekend alone again, no one checked on me",lonely
"I feel like an outsider, no seat saved for me",lonely
"lonely in a crowded classroom, no real friends",lonely
"I want company, I feel forgotten here",lonely
"new city, no friends yet, deep loneliness",lonely
"I cannot decide what to study first, everything is too much",overwhelmed
My brain is foggy from too many tabs open,overwhelmed
"I am drowning in notes, classes, and chores",overwhelmed
I freeze when I look at my timetable,overwhelmed
"Too many things, I shut down",overwhelmed
I feel overloaded and I do not know where to start,overwhelmed
I have not had a proper meal because of work,overwhelmed
Everything is happening at once,overwhelmed
I am overwhelmed by choices after college,overwhelmed
I cried because a small task felt huge,overwhelmed
"My mind is cluttered, I cannot think",overwhelmed
I opened my laptop and just stared,overwhelmed
"Too many subjects, too little bandwidth",overwhelmed
I feel buried under PDFs,overwhelmed
"I cannot keep roles straight: student, child, intern",overwhelmed
I am at capacity,overwhelmed
Even brushing my teeth felt like a task,overwhelmed
"Notifications, deadlines, family chats, all at once",overwhelmed
I feel like I am carrying a mountain,overwhelmed
I started five tasks and finished none,overwhelmed
I am overwhelmed and I want to hide,overwhelmed
The semester is a flood,overwhelmed
I cannot process another instruction,overwhelmed
My desk is chaos and so is my head,overwhelmed
I feel maxed out emotionally and academically,overwhelmed
I need everything to pause,overwhelmed
I am overstimulated in the noisy hostel,overwhelmed
I have no space left in my day,overwhelmed
"Too much input, I want silence",overwhelmed
I feel crushed by the syllabus plus life,overwhelmed
I am overwhelmed by my own expectations,overwhelmed
I keep switching tasks and getting nowhere,overwhelmed
I feel like the week swallowed me,overwhelmed
I cannot hold one more responsibility,overwhelmed
My energy is gone and the list is not,overwhelmed
I am overloaded and numb,overwhelmed
I do not know how to simplify this mess,overwhelmed
Everything demands me right now,overwhelmed
I feel swamped after back-to-back classes,overwhelmed
I am overwhelmed and I need a tiny next step,overwhelmed
"I am overwhelmed, drowning in notes and chores",overwhelmed
"too much at once, my brain shut down",overwhelmed
"I freeze when I see the full timetable, overloaded",overwhelmed
"cannot decide what to start, everything is too much",overwhelmed
"mental clutter, too many tabs, I am swamped",overwhelmed
"I feel buried, overloaded, need everything to pause",overwhelmed
"overstimulated and maxed out, cannot take more input",overwhelmed
"I stared at the laptop, overwhelmed and foggy",overwhelmed
"roles piled up, I am at capacity",overwhelmed
"the semester is a flood, I am completely overloaded",overwhelmed
"I need a helpline right now, I cannot cope",crisis
"Please, I need emergency help",crisis
I am in a crisis and I cannot handle this alone,crisis
I do not want to be here anymore,crisis
I feel like giving up on everything,crisis
I cannot go on like this,crisis
"I need a real person, not a bot, I am breaking",crisis
"This is a crisis, I feel unsafe with my thoughts",crisis
I want this pain to stop and I need help now,crisis
I am not okay and I think I need urgent support,crisis
Please point me to a counsellor immediately,crisis
I feel I have no reason to keep going,crisis
I am in serious trouble emotionally,crisis
I cannot promise I am safe tonight,crisis
I need campus counselling emergency support,crisis
I feel completely hopeless and stuck,crisis
I want to disappear forever,crisis
"I am at my limit, this is an emergency for me",crisis
I need you to give me helpline numbers now,crisis
I am in crisis after a very dark day,crisis
I cannot see a way forward at all,crisis
I feel empty and I need professional help tonight,crisis
"Please do not give tips, I need real help",crisis
I am scared of my own head right now,crisis
I need to talk to a human crisis line,crisis
I feel like I am falling and no one is there,crisis
I am in a bad place and I might not be safe,crisis
I need urgent mental health help as a student,crisis
"I cannot cope anymore, this is beyond stress",crisis
I feel like the end of my rope,crisis
"I am in crisis, connect me to help",crisis
I need 24 hour helpline numbers in India,crisis
I am desperate and I need support now,crisis
I do not feel safe being alone in my room,crisis
"This is not regular sadness, I need crisis support",crisis
"I feel I might do something I will regret, help",crisis
I am breaking down and I need emergency contacts,crisis
Please treat this as a crisis message,crisis
I cannot keep going through this night alone,crisis
I need help that is more than a chatbot,crisis
crisis: I need helpline numbers right now,crisis
"this is an emergency, I cannot cope, I need a person",crisis
I am in crisis and I do not feel safe tonight,crisis
"please treat this as crisis support, I am breaking",crisis
"I need urgent counselling, not study tips",crisis
"I cannot go on, I need emergency mental health help",crisis
"I am hopeless and in crisis, connect me to a helpline",crisis
I need KIRAN or a counsellor immediately,crisis
"crisis message: I want this pain to stop, help now",crisis
"I am at the end of my rope, this is a crisis",crisis
